seconds	x (metres)	y (metres)
0.0	0.0	0.0
0.05	0.192	1.048
0.1	0.384	2.061
0.15	0.576	3.041
0.2	0.767	3.987
0.25	0.959	4.9
0.3	1.151	5.781
0.35	1.342	6.63
0.4	1.534	7.449
0.45	1.726	8.236
0.5	1.917	8.994
0.55	2.109	9.721
0.6	2.3	10.42
0.65	2.492	11.089
0.7	2.684	11.73
0.75	2.875	12.342
0.8	3.066	12.927
0.85	3.258	13.483
0.9	3.449	14.013
0.95	3.641	14.515
1.0	3.832	14.991
1.05	4.023	15.44
1.1	4.215	15.863
1.15	4.406	16.259
1.2	4.597	16.63
1.25	4.789	16.975
1.3	4.98	17.294
1.35	5.171	17.588
1.4	5.362	17.856
1.45	5.553	18.099
1.5	5.745	18.318
1.55	5.936	18.511
1.6	6.127	18.68
1.65	6.318	18.823
1.7	6.509	18.943
1.75	6.7	19.037
1.8	6.891	19.107
1.85	7.082	19.152
1.9	7.274	19.173
1.95	7.465	19.169
2.0	7.656	19.14
2.05	7.847	19.088
2.1	8.038	19.01
2.15	8.229	18.909
2.2	8.42	18.783
2.25	8.611	18.632
2.3	8.802	18.458
2.35	8.993	18.259
2.4	9.185	18.036
2.45	9.376	17.789
2.5	9.567	17.518
2.55	9.758	17.224
2.6	9.949	16.906
2.65	10.141	16.564
