seconds	x (metres)	y (metres)
0.0	0.0	0.0
0.05	0.192	1.048
0.1	0.385	2.061
0.15	0.578	3.04
0.2	0.772	3.986
0.25	0.968	4.899
0.3	1.163	5.779
0.35	1.36	6.627
0.4	1.557	7.444
0.45	1.755	8.23
0.5	1.953	8.986
0.55	2.152	9.711
0.6	2.352	10.406
0.65	2.552	11.073
0.7	2.753	11.71
0.75	2.954	12.318
0.8	3.156	12.899
0.85	3.358	13.451
0.9	3.561	13.976
0.95	3.764	14.473
1.0	3.967	14.943
1.05	4.171	15.386
1.1	4.375	15.803
1.15	4.58	16.193
1.2	4.784	16.557
1.25	4.99	16.895
1.3	5.195	17.207
1.35	5.401	17.494
1.4	5.607	17.755
1.45	5.813	17.991
1.5	6.019	18.202
1.55	6.226	18.388
1.6	6.432	18.548
1.65	6.639	18.684
1.7	6.846	18.795
1.75	7.053	18.882
1.8	7.261	18.944
1.85	7.468	18.981
1.9	7.675	18.994
1.95	7.883	18.982
2.0	8.09	18.946
2.05	8.298	18.885
2.1	8.506	18.8
2.15	8.714	18.691
2.2	8.922	18.557
2.25	9.13	18.399
2.3	9.338	18.217
2.35	9.547	18.012
2.4	9.756	17.783
2.45	9.965	17.531
2.5	10.175	17.255
2.55	10.386	16.958
2.6	10.596	16.639
2.65	10.808	16.299
